mevzuatId,turId,sayi,ad,rgSayi,rgTarih,tur,detail_url,local_archive
150502,20,,DEMİRYOLU İLE SEYAHAT EDEN YOLCULARIN HAKLARINA DAİR YÖNETMELİK,30708                                             ,2019-03-08T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/150502,
200847,20,,DEMİRYOLU İŞLETMECİLİĞİ YETKİLENDİRME YÖNETMELİĞİ,32462                                             ,2024-02-16T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/200847,
156116,20,,DEMİRYOLU KAZALARINI VE OLAYLARINI ARAŞTIRMA VE İNCELEME YÖNETMELİĞİ,30948                                             ,2019-11-14T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/156116,
105737,20,,DEMİRYOLU KOORDİNASYON KURULU YÖNETMELİĞİ,30084                                             ,2017-06-02T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/105737,
199470,20,,DEMİRYOLU YOLCU TAŞIMACILIĞI KAMU HİZMETİ YÜKÜMLÜLÜĞÜ SÖZLEŞMELERİNDE UYGULANACAK USUL VE ESASLAR HAKKINDA YÖNETMELİK,32346                                             ,2023-10-21T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/199470,
39948,20,,DENİZ ALACAKLARINA İLİŞKİN GEMİLERİN SİGORTALANDIRILMASI VE DENETLENMESİ HAKKINDA YÖNETMELİK,27759                                             ,2010-11-14T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/39948,
37376,20,,DENİZ ÇEVRESİNİN PETROL VE DİĞER ZARARLI MADDELERLE KİRLENMESİNDE ACİL DURUMLARDA MÜDAHALE VE ZARARLARIN TAZMİNİ ESASLARINA DAİR KANUN KAPSAMINDA MAL VE HİZMET ALIMINA İLİŞKİN YÖNETMELİK,26150                                             ,2006-04-26T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/37376,
157215,20,,DENİZ KAZA VE OLAYLARINI İNCELEME YÖNETMELİĞİ,30961                                             ,2019-11-27T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/157215,
58306,20,,DENİZ TİCARET FİLOSUNUN GELİŞTİRİLMESİ VE GEMİ İNŞA TESİSLERİNİN TEŞVİKİ HAKKINDAKİ KANUNUN UYGULANMASI HAKKINDA YÖNETMELİK,29454                                             ,2015-08-23T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/58306,
157159,20,,DENİZ TİCARETİ GÖZETİM HİZMETLERİ YÖNETMELİĞİ,30953                                             ,2019-11-19T00:00:00,Kurum Yönetmeliği                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,https://kms.kaysis.gov.tr/Home/Goster/157159,
